time,x,y,z,heading
187.09,5.007,1.057,2.964,-3.1044
187.39,5.002,1.059,2.824,-3.1042
187.69,4.997,1.060,2.684,-3.1042
187.99,4.991,1.062,2.544,-3.1044
188.29,4.986,1.064,2.403,-3.1047
188.59,4.981,1.066,2.263,-3.1053
188.89,4.976,1.068,2.123,-3.1060
189.19,4.971,1.070,1.982,-3.1069
189.49,4.967,1.072,1.843,-3.1080
189.79,4.962,1.074,1.703,-3.1092
190.09,4.958,1.076,1.564,-3.1107
190.39,4.954,1.078,1.426,-3.1123
190.69,4.950,1.080,1.288,-3.1142
190.99,4.947,1.083,1.151,-3.1162
191.29,4.943,1.085,1.015,-3.1185
191.59,4.941,1.087,0.879,-3.1209
191.89,4.938,1.089,0.745,-3.1236
192.19,4.936,1.092,0.612,-3.1265
192.49,4.935,1.094,0.480,-3.1297
192.79,4.933,1.097,0.349,-3.1331
193.09,4.933,1.099,0.220,-3.1368
193.39,4.933,1.102,0.092,-3.1408
193.69,4.933,1.104,-0.034,3.1381
193.99,4.934,1.107,-0.159,3.1335
194.29,4.936,1.109,-0.282,3.1286
194.59,4.938,1.112,-0.403,3.1234
194.89,4.941,1.114,-0.522,3.1178
195.20,4.944,1.117,-0.640,3.1117
195.50,4.949,1.120,-0.755,3.1053
195.80,4.953,1.122,-0.868,3.0984
196.10,4.959,1.125,-0.979,3.0910
196.40,4.965,1.128,-1.088,3.0831
196.70,4.973,1.130,-1.195,3.0746
197.00,4.981,1.133,-1.299,3.0655
197.30,4.989,1.136,-1.401,3.0557
197.60,4.999,1.138,-1.500,3.0452
197.90,5.009,1.141,-1.597,3.0339
198.20,5.021,1.144,-1.691,3.0218
198.50,5.033,1.147,-1.782,3.0087
198.80,5.046,1.149,-1.871,2.9946
199.10,5.060,1.152,-1.956,2.9793
199.40,5.075,1.155,-2.039,2.9628
199.70,5.091,1.158,-2.119,2.9449
200.00,5.108,1.160,-2.196,2.9254
200.30,5.126,1.163,-2.270,2.9042
200.60,5.145,1.166,-2.341,2.8811
200.90,5.165,1.168,-2.409,2.8559
201.20,5.185,1.171,-2.473,2.8283
201.50,5.207,1.174,-2.535,2.7980
201.80,5.230,1.177,-2.593,2.7648
202.10,5.255,1.179,-2.648,2.7283
202.40,5.280,1.182,-2.700,2.6881
202.70,5.306,1.185,-2.748,2.6438
203.00,5.333,1.187,-2.793,2.5950
203.30,5.362,1.190,-2.834,2.5413
203.60,5.391,1.193,-2.872,2.4823
203.90,5.422,1.195,-2.907,2.4178
204.20,5.454,1.198,-2.938,2.3475
204.50,5.486,1.200,-2.966,2.2714
204.80,5.520,1.203,-2.990,2.1900
205.11,5.556,1.206,-3.011,2.1039
205.41,5.592,1.208,-3.028,2.0140
205.71,5.629,1.211,-3.042,1.9217
206.01,5.668,1.213,-3.052,1.8285
206.31,5.708,1.216,-3.059,1.7362
206.61,5.748,1.218,-3.062,1.6464
206.91,5.790,1.220,-3.061,1.5602
207.21,5.833,1.223,-3.057,1.4788
207.51,5.878,1.225,-3.050,1.4029
207.81,5.923,1.228,-3.039,1.3326
208.11,5.970,1.230,-3.024,1.2681
208.41,6.017,1.232,-3.006,1.2092
208.71,6.066,1.234,-2.985,1.1555
209.01,6.116,1.237,-2.960,1.1068
209.31,6.167,1.239,-2.931,1.0625
209.61,6.219,1.241,-2.900,1.0224
209.91,6.272,1.243,-2.864,0.9859
210.21,6.326,1.245,-2.826,0.9528
210.51,6.382,1.247,-2.784,0.9226
210.81,6.438,1.249,-2.739,0.8950
211.11,6.495,1.252,-2.690,0.8699
211.41,6.554,1.253,-2.638,0.8468
211.71,6.613,1.255,-2.584,0.8257
212.01,6.674,1.257,-2.526,0.8063
212.31,6.736,1.259,-2.464,0.7884
212.61,6.798,1.261,-2.400,0.7720
212.91,6.862,1.263,-2.333,0.7568
213.21,6.926,1.265,-2.263,0.7427
213.51,6.992,1.266,-2.189,0.7297
213.81,7.058,1.268,-2.113,0.7176
214.11,7.125,1.270,-2.034,0.7064
214.41,7.193,1.271,-1.953,0.6960
214.71,7.263,1.273,-1.868,0.6864
215.02,7.333,1.274,-1.781,0.6773
215.32,7.403,1.276,-1.692,0.6689
215.62,7.475,1.277,-1.600,0.6611
215.92,7.547,1.279,-1.505,0.6538
216.22,7.621,1.280,-1.408,0.6470
216.52,7.695,1.281,-1.309,0.6407
216.82,7.769,1.283,-1.208,0.6347
217.12,7.845,1.284,-1.104,0.6292
217.42,7.921,1.285,-0.998,0.6241
217.72,7.998,1.286,-0.890,0.6193
218.02,8.075,1.287,-0.781,0.6148
218.32,8.153,1.288,-0.669,0.6107
218.62,8.232,1.289,-0.556,0.6068
218.92,8.311,1.290,-0.441,0.6032
219.22,8.391,1.291,-0.324,0.5999
219.52,8.472,1.292,-0.206,0.5969
219.82,8.552,1.293,-0.086,0.5941
220.12,8.634,1.294,0.035,0.5915
220.42,8.716,1.295,0.158,0.5891
220.72,8.798,1.295,0.281,0.5870
221.02,8.881,1.296,0.406,0.5851
221.32,8.964,1.296,0.532,0.5834
221.62,9.047,1.297,0.659,0.5819
221.92,9.131,1.298,0.786,0.5805
222.22,9.215,1.298,0.914,0.5794
222.52,9.299,1.298,1.043,0.5784
222.82,9.383,1.299,1.173,0.5776
223.12,9.468,1.299,1.303,0.5770
223.42,9.553,1.299,1.434,0.5766
223.72,9.638,1.300,1.564,0.5764
224.02,9.723,1.300,1.695,0.5763
224.32,9.808,1.300,1.826,0.5764
224.62,9.893,1.300,1.958,0.5767
224.92,9.979,1.300,2.089,0.5771
225.23,10.064,1.300,2.219,0.5777
225.53,10.149,1.300,2.350,0.5785
225.83,10.235,1.300,2.480,0.5795
226.13,10.320,1.300,2.610,0.5806
226.43,10.405,1.299,2.739,0.5820
226.73,10.490,1.299,2.868,0.5835
227.03,10.574,1.299,2.996,0.5852
227.33,10.659,1.299,3.123,0.5871
227.63,10.743,1.298,3.249,0.5892
227.93,10.827,1.298,3.375,0.5915
228.23,10.911,1.297,3.499,0.5941
228.53,10.995,1.297,3.622,0.5968
228.83,11.078,1.296,3.743,0.5998
229.13,11.161,1.296,3.863,0.6031
229.43,11.243,1.295,3.982,0.6065
229.73,11.325,1.294,4.100,0.6103
230.03,11.407,1.293,4.215,0.6143
230.33,11.488,1.293,4.329,0.6187
230.63,11.569,1.292,4.441,0.6233
230.93,11.649,1.291,4.552,0.6282
231.23,11.728,1.290,4.660,0.6335
231.53,11.807,1.289,4.766,0.6392
231.83,11.886,1.288,4.870,0.6453
232.13,11.964,1.287,4.972,0.6518
232.43,12.041,1.286,5.072,0.6587
232.73,12.117,1.284,5.169,0.6661
233.03,12.193,1.283,5.264,0.6740
233.33,12.268,1.282,5.357,0.6824
233.63,12.342,1.281,5.447,0.6915
233.93,12.416,1.279,5.534,0.7012
234.23,12.489,1.278,5.618,0.7116
234.53,12.561,1.277,5.700,0.7227
234.83,12.632,1.275,5.779,0.7347
235.14,12.703,1.274,5.855,0.7475
235.44,12.772,1.272,5.928,0.7613
235.74,12.841,1.270,5.998,0.7762
236.04,12.909,1.269,6.064,0.7922
236.34,12.975,1.267,6.128,0.8096
236.64,13.041,1.265,6.189,0.8283
236.94,13.106,1.264,6.246,0.8486
237.24,13.170,1.262,6.300,0.8707
237.54,13.233,1.260,6.350,0.8946
237.84,13.295,1.258,6.398,0.9206
238.14,13.356,1.256,6.441,0.9490
238.44,13.417,1.254,6.482,0.9800
238.74,13.476,1.253,6.518,1.0138
239.04,13.533,1.251,6.552,1.0509
239.34,13.590,1.248,6.581,1.0914
239.64,13.646,1.246,6.607,1.1357
239.94,13.701,1.244,6.629,1.1842
240.24,13.755,1.242,6.648,1.2371
240.54,13.807,1.240,6.663,1.2948
240.84,13.859,1.238,6.674,1.3574
241.14,13.909,1.236,6.681,1.4250
241.44,13.959,1.233,6.685,1.4975
241.74,14.007,1.231,6.685,1.5744
242.04,14.054,1.229,6.681,1.6553
242.34,14.100,1.226,6.673,1.7393
242.64,14.145,1.224,6.661,1.8251
242.94,14.188,1.222,6.646,1.9117
243.24,14.231,1.219,6.627,1.9975
243.54,14.272,1.217,6.603,2.0814
243.84,14.312,1.214,6.576,2.1622
244.14,14.352,1.212,6.546,2.2392
244.44,14.390,1.209,6.511,2.3116
244.74,14.426,1.207,6.472,2.3791
245.05,14.462,1.204,6.430,2.4417
245.35,14.497,1.202,6.384,2.4993
245.65,14.530,1.199,6.334,2.5522
245.95,14.562,1.197,6.280,2.6007
246.25,14.594,1.194,6.222,2.6450
246.55,14.624,1.191,6.161,2.6855
246.85,14.653,1.189,6.096,2.7225
247.15,14.681,1.186,6.027,2.7563
247.45,14.707,1.183,5.955,2.7873
247.75,14.733,1.181,5.879,2.8157
248.05,14.758,1.178,5.799,2.8418
248.35,14.781,1.175,5.716,2.8658
248.65,14.804,1.173,5.629,2.8878
248.95,14.825,1.170,5.539,2.9082
249.25,14.846,1.167,5.445,2.9270
249.55,14.865,1.164,5.348,2.9444
249.85,14.883,1.162,5.248,2.9605
250.15,14.901,1.159,5.144,2.9755
250.45,14.917,1.156,5.037,2.9894
250.75,14.933,1.153,4.927,3.0023
251.05,14.947,1.151,4.813,3.0144
251.35,14.961,1.148,4.697,3.0256
251.65,14.973,1.145,4.577,3.0361
251.95,14.985,1.142,4.455,3.0459
252.25,14.996,1.140,4.329,3.0551
252.55,15.006,1.137,4.201,3.0637
252.85,15.015,1.134,4.070,3.0717
253.15,15.024,1.132,3.936,3.0793
253.45,15.031,1.129,3.799,3.0864
253.75,15.038,1.126,3.660,3.0930
254.05,15.044,1.124,3.519,3.0992
254.35,15.049,1.121,3.375,3.1051
254.65,15.054,1.118,3.229,3.1106
254.95,15.057,1.116,3.080,3.1157
255.26,15.061,1.113,2.929,3.1206
255.56,15.063,1.110,2.776,3.1251
255.86,15.065,1.108,2.621,3.1294
256.16,15.066,1.105,2.464,3.1333
256.46,15.067,1.103,2.305,3.1371
256.76,15.067,1.100,2.145,3.1406
257.06,15.067,1.098,1.982,-3.1394
257.36,15.066,1.095,1.818,-3.1363
257.66,15.065,1.093,1.653,-3.1335
257.96,15.063,1.091,1.486,-3.1309
258.26,15.061,1.088,1.318,-3.1284
258.56,15.058,1.086,1.148,-3.1262
258.86,15.055,1.084,0.978,-3.1241
259.16,15.052,1.081,0.806,-3.1223
259.46,15.048,1.079,0.633,-3.1205
259.76,15.044,1.077,0.460,-3.1190
260.06,15.040,1.075,0.285,-3.1176
260.36,15.036,1.073,0.110,-3.1164
260.66,15.031,1.071,-0.065,-3.1153
260.96,15.026,1.069,-0.241,-3.1144
261.26,15.021,1.067,-0.418,-3.1136
261.56,15.016,1.065,-0.595,-3.1130
261.86,15.011,1.063,-0.772,-3.1125
262.16,15.006,1.061,-0.949,-3.1122
262.46,15.001,1.060,-1.126,-3.1120
262.76,14.995,1.058,-1.303,-3.1120
263.06,14.990,1.056,-1.480,-3.1121
263.36,14.985,1.055,-1.656,-3.1124
263.66,14.980,1.053,-1.833,-3.1128
263.96,14.975,1.052,-2.008,-3.1133
264.26,14.970,1.050,-2.183,-3.1140
264.56,14.965,1.049,-2.358,-3.1149
264.86,14.961,1.047,-2.532,-3.1159
265.17,14.957,1.046,-2.704,-3.1171
265.47,14.953,1.045,-2.876,-3.1184
265.77,14.949,1.044,-3.047,-3.1199
266.07,14.946,1.043,-3.217,-3.1215
266.37,14.943,1.042,-3.385,-3.1234
266.67,14.940,1.041,-3.552,-3.1254
266.97,14.938,1.040,-3.718,-3.1276
267.27,14.936,1.040,-3.882,-3.1300
267.57,14.934,1.039,-4.044,-3.1326
267.87,14.933,1.038,-4.205,-3.1355
268.17,14.933,1.038,-4.364,-3.1385
268.47,14.933,1.037,-4.521,3.1414
268.77,14.933,1.037,-4.676,3.1379
269.07,14.935,1.037,-4.829,3.1341
269.37,14.936,1.037,-4.980,3.1300
269.67,14.939,1.036,-5.129,3.1257
269.97,14.942,1.036,-5.276,3.1211
270.27,14.945,1.037,-5.420,3.1161
270.57,14.950,1.037,-5.561,3.1108
270.87,14.955,1.037,-5.700,3.1051
271.17,14.961,1.037,-5.837,3.0990
271.47,14.967,1.038,-5.970,3.0925
271.77,14.974,1.038,-6.101,3.0856
272.07,14.983,1.039,-6.230,3.0781
272.37,14.992,1.040,-6.355,3.0701
272.67,15.001,1.040,-6.477,3.0616
272.97,15.012,1.041,-6.596,3.0524
273.27,15.024,1.042,-6.713,3.0426
273.57,15.036,1.043,-6.826,3.0320
273.87,15.049,1.045,-6.935,3.0207
274.17,15.064,1.046,-7.042,3.0084
274.47,15.079,1.047,-7.145,2.9952
274.77,15.095,1.049,-7.245,2.9809
275.08,15.112,1.050,-7.341,2.9654
275.38,15.130,1.052,-7.434,2.9487
275.68,15.149,1.054,-7.523,2.9304
275.98,15.170,1.056,-7.609,2.9106
276.28,15.191,1.058,-7.691,2.8890
276.58,15.213,1.060,-7.770,2.8654
276.88,15.236,1.062,-7.844,2.8395
277.18,15.261,1.065,-7.915,2.8112
277.48,15.286,1.067,-7.983,2.7800
277.78,15.313,1.070,-8.046,2.7456
278.08,15.340,1.072,-8.106,2.7077
278.38,15.369,1.075,-8.161,2.6657
278.68,15.399,1.078,-8.213,2.6194
278.98,15.430,1.081,-8.261,2.5682
279.28,15.462,1.084,-8.305,2.5115
279.58,15.495,1.087,-8.345,2.4491
279.88,15.529,1.091,-8.381,2.3806
280.18,15.565,1.094,-8.413,2.3057
280.48,15.601,1.098,-8.441,2.2247
280.78,15.639,1.101,-8.465,2.1379
281.08,15.678,1.105,-8.485,2.0463
281.38,15.718,1.109,-8.501,1.9510
281.68,15.759,1.113,-8.513,1.8538
281.98,15.801,1.117,-8.521,1.7565
282.28,15.844,1.122,-8.525,1.6609
282.58,15.889,1.126,-8.525,1.5688
282.88,15.935,1.130,-8.521,1.4814
283.18,15.981,1.135,-8.512,1.3997
283.48,16.029,1.140,-8.500,1.3242
283.78,16.078,1.145,-8.484,1.2549
284.08,16.128,1.150,-8.464,1.1918
284.38,16.180,1.155,-8.441,1.1345
284.68,16.232,1.160,-8.413,1.0826
284.98,16.285,1.165,-8.381,1.0357
285.29,16.340,1.170,-8.346,0.9933
285.59,16.396,1.176,-8.306,0.9549
285.89,16.452,1.182,-8.263,0.9201
286.19,16.510,1.187,-8.216,0.8885
286.49,16.569,1.193,-8.166,0.8597
286.79,16.628,1.199,-8.111,0.8335
287.09,16.689,1.205,-8.053,0.8096
287.39,16.751,1.211,-7.992,0.7877
287.69,16.814,1.217,-7.927,0.7676
287.99,16.878,1.224,-7.858,0.7491
288.29,16.942,1.230,-7.786,0.7321
288.59,17.008,1.237,-7.711,0.7164
288.89,17.075,1.243,-7.632,0.7018
289.19,17.142,1.250,-7.550,0.6884
289.49,17.211,1.257,-7.464,0.6759
289.79,17.280,1.264,-7.376,0.6643
290.09,17.350,1.271,-7.284,0.6535
290.39,17.421,1.278,-7.190,0.6434
290.69,17.493,1.286,-7.092,0.6340
290.99,17.566,1.293,-6.991,0.6253
291.29,17.639,1.300,-6.888,0.6171
291.59,17.713,1.308,-6.781,0.6094
291.89,17.788,1.316,-6.673,0.6022
292.19,17.864,1.323,-6.561,0.5955
292.49,17.940,1.331,-6.447,0.5892
292.79,18.017,1.339,-6.330,0.5832
293.09,18.095,1.347,-6.211,0.5777
293.39,18.173,1.355,-6.089,0.5725
293.69,18.252,1.363,-5.966,0.5676
293.99,18.331,1.372,-5.840,0.5630
294.29,18.411,1.380,-5.712,0.5586
294.59,18.492,1.388,-5.582,0.5546
294.89,18.573,1.397,-5.450,0.5508
295.20,18.654,1.405,-5.316,0.5472
295.50,18.736,1.414,-5.181,0.5438
295.80,18.818,1.422,-5.044,0.5407
296.10,18.901,1.431,-4.905,0.5378
296.40,18.984,1.440,-4.765,0.5350
296.70,19.068,1.449,-4.623,0.5325
297.00,19.152,1.458,-4.480,0.5301
297.30,19.236,1.467,-4.336,0.5279
297.60,19.320,1.476,-4.191,0.5259
297.90,19.404,1.485,-4.045,0.5240
298.20,19.489,1.494,-3.897,0.5223
298.50,19.574,1.503,-3.749,0.5207
298.80,19.659,1.513,-3.601,0.5192
299.10,19.744,1.522,-3.451,0.5179
299.40,19.829,1.531,-3.301,0.5168
299.70,19.915,1.541,-3.151,0.5158
300.00,20.000,1.550,-3.000,0.5149
